,filtered_x,filtered_y,bvs_est,test_xs,obj,resin,species,curve_id,fs.unit.bv_50,fs.unit.mass_transfer_coeff,fs.unit.freundlich_n
0,0.005,433.9440694,9450.37838138396,0.01,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
1,0.164778364,69239.8497,36307.99702908387,0.059000000000000004,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
2,0.205133753,77039.2046,49205.41049463643,0.108,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
3,0.355053757,85753.00103,58966.00214562364,0.15700000000000003,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
4,0.384454789,93547.36807,67314.19993552088,0.20600000000000002,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
5,0.475951556,102234.5626,74903.9869898896,0.255,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
6,0.556483443,110484.4877,82071.23444453662,0.30400000000000005,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
7,0.63355329,126513.8164,89024.38459257975,0.35300000000000004,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
8,0.655693509,136033.984,95913.77650411424,0.402,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
9,0.769288402,152512.2203,102863.54870516682,0.451,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
10,0.86482597,177195.491,109989.94536800002,0.5,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
11,0.883651469,200547.0023,117414.9693944288,0.549,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
12,0.909927194,229953.7791,125280.0861089256,0.5980000000000001,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
13,,,133764.11435292315,0.647,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
14,,,143111.4343487014,0.6960000000000001,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
15,,,153682.97253069934,0.745,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
16,,,166060.53212405244,0.794,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
17,,,181293.9169316851,0.8430000000000001,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
18,,,201622.57214170776,0.892,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
19,,,233508.37275710248,0.9410000000000001,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
20,,,324355.3985914203,0.99,65764174.36071132,ect2_sorbix_lc4,PFOA,1,109989.9453690495,0.35121540715889077,1.05
21,0.005,15131.51332,43301.98482401763,0.01,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
22,0.007776436,69600.63845,64318.09916779996,0.059000000000000004,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
23,0.124822847,77867.18984,74410.33862204064,0.108,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
24,0.17980509,86537.75812,82048.01174948478,0.15700000000000003,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
25,0.271270289,93928.10827,88580.48521035719,0.20600000000000002,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
26,0.329882939,101735.7763,94519.50148119076,0.255,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
27,0.435985515,110429.6213,100127.8800753883,0.30400000000000005,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
28,0.567837671,126916.1707,105568.72730429805,0.35300000000000004,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
29,0.721830045,152922.8876,110959.68364676893,0.402,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
30,0.864836493,177627.7724,116397.8876286422,0.451,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
31,0.946462763,230834.9682,121974.30043572071,0.5,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
32,,,127784.38946567684,0.549,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
33,,,133938.85148217235,0.5980000000000001,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
34,,,140577.61241477457,0.647,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
35,,,147891.90004181163,0.6960000000000001,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
36,,,156164.13967394794,0.745,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
37,,,165849.5929404955,0.794,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
38,,,177769.7324100639,0.8430000000000001,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
39,,,193676.92627355916,0.892,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
40,,,218627.598447475,0.9410000000000001,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
41,,,289715.49073244876,0.99,132035129.78878674,calgon_calres_2301,PFOA,2,121974.30043654193,0.49774165212995525,1.05
42,0.005,15131.51332,26331.645438846244,0.01,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
43,0.124801801,77002.62694,58720.86278764504,0.059000000000000004,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
44,0.216288045,85257.53999,71935.38843968142,0.108,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
45,0.297051436,103017.657,81216.59552446903,0.15700000000000003,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
46,0.399449946,109548.4321,88757.3322170437,0.20600000000000002,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
47,0.557083249,135124.5303,95346.5511413818,0.255,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
48,0.721819522,152490.6062,101370.21560703349,0.30400000000000005,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
49,0.864847016,178060.0539,107055.06374309986,0.35300000000000004,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
50,0.927489943,201431.5166,112554.1867526958,0.402,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
51,0.942306211,210083.7961,117984.65445377391,0.451,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
52,0.964709502,230410.9999,123447.52312365262,0.5,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
53,,,129041.05366072727,0.549,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
54,,,134872.19747471678,0.5980000000000001,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
55,,,141069.964224383,0.647,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
56,,,147805.18359924763,0.6960000000000001,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
57,,,155325.21568419968,0.745,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
58,,,164024.193506915,0.794,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
59,,,174608.75385661089,0.8430000000000001,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
60,,,188581.39997751472,0.892,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
61,,,210271.2237067626,0.9410000000000001,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
62,,,271419.4642558292,0.99,7340311.180243534,a694e,PFOA,3,123447.52312445713,0.06926086371567555,1.4250175213042056
63,0.005,15562.13215,29341.998181560335,0.01,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
64,0.122371007,127145.6123,93396.82324470748,0.059000000000000004,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
65,0.141017617,143148.339,124156.86894337866,0.108,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
66,0.185056026,152246.2009,147435.66377143603,0.15700000000000003,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
67,0.196199796,160032.2548,167345.93053435345,0.20600000000000002,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
68,0.225579781,166962.059,185447.4044966849,0.255,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
69,0.276952664,177360.0904,202541.13087563546,0.30400000000000005,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
70,0.288464736,200275.9951,219124.23992196072,0.35300000000000004,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
71,0.310583908,208931.5998,235555.28698686563,0.402,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
72,0.314729938,229250.4905,252130.33970446154,0.451,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
73,,,269126.6378500425,0.5,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
74,,,286835.1556412924,0.549,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
75,,,305593.284742716,0.5980000000000001,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
76,,,325827.5041291492,0.647,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
77,,,348120.6552161441,0.6960000000000001,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
78,,,373333.5395530084,0.745,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
79,,,402853.7449410267,0.794,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
80,,,439185.03019030375,0.8430000000000001,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
81,,,487668.42245644494,0.892,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
82,,,563715.3504496925,0.9410000000000001,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
83,,,780383.4942217369,0.99,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
84,,,,,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
85,,,,,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
86,,,,,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
87,,,,,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
88,0.005,31645.56962,115899.39032287861,0.01,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
89,0.005497507,143459.9156,152415.97969121236,0.059000000000000004,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
90,0.00569925,151476.7932,169951.76951081975,0.108,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
91,0.18751249,176371.308,183222.62295033527,0.15700000000000003,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
92,0.256083996,201265.8228,194573.13461144024,0.20600000000000002,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
93,0.339319059,208860.7595,204892.48360556312,0.255,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
94,0.35494886,229957.8059,214637.3324770699,0.30400000000000005,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
95,0.427305709,255274.2616,224091.0869068327,0.35300000000000004,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
96,,,233458.1533321667,0.402,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
97,,,242907.31498302417,0.451,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
98,,,252596.6216404486,0.5,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
99,,,262691.9528624706,0.549,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
100,,,273385.6500209019,0.5980000000000001,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
101,,,284920.8416802533,0.647,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
102,,,297629.7960297245,0.6960000000000001,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
103,,,312003.24170392664,0.745,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
104,,,328832.2194109947,0.794,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
105,,,349544.0803717377,0.8430000000000001,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
106,,,377183.65526240197,0.892,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
107,,,420536.74305659503,0.9410000000000001,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
108,,,544055.645226954,0.99,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
109,0.005,31645.56962,49718.84686796918,0.01,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
110,0.225259734,176371.308,107227.626491081,0.059000000000000004,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
111,0.358182063,208438.8186,133502.11140595656,0.108,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
112,0.407773766,229113.9241,152957.1261496219,0.15700000000000003,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
113,0.514103135,254430.3797,169354.33254644275,0.20600000000000002,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
114,,,184096.38280147302,0.255,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
115,,,197892.48125502034,0.30400000000000005,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
116,,,211175.09380257298,0.35300000000000004,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
117,,,224249.72979283158,0.402,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
118,,,237362.83537100803,0.451,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
119,,,250739.78912493945,0.5,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
120,,,264612.18540817953,0.549,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
121,,,279244.10675786494,0.5980000000000001,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
122,,,294965.40255343594,0.647,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
123,,,312223.3292941619,0.6960000000000001,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
124,,,331675.2511512617,0.745,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
125,,,354377.83551357506,0.794,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
126,,,382234.779732206,0.8430000000000001,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
127,,,419303.8633530645,0.892,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
128,,,477289.5739252764,0.9410000000000001,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
129,,,642044.5701019178,0.99,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
130,0.005,52742.61603,101106.0227639555,0.01,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
131,0.013248699,151476.7932,156992.56876472765,0.059000000000000004,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
132,0.153561206,177215.1899,177903.089350387,0.108,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
133,0.2258862,201265.8228,191919.01205656235,0.15700000000000003,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
134,0.28649415300000003,209704.6414,202919.0483479613,0.20600000000000002,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
135,0.362498309,229957.8059,212265.10364065328,0.255,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
136,0.442383371,254430.3797,220607.88854930186,0.30400000000000005,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
137,,,228319.24552300767,0.35300000000000004,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
138,,,235641.5705170943,0.402,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
139,,,242752.16289709244,0.451,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
140,,,249796.23247251235,0.5,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
141,,,256907.33419025582,0.549,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
142,,,264223.528260868,0.5980000000000001,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
143,,,271904.51562864205,0.647,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
144,,,280155.46318196604,0.6960000000000001,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
145,,,289267.6241264258,0.745,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
146,,,299699.56090868125,0.794,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
147,,,312267.966813307,0.8430000000000001,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
148,,,328703.4564480285,0.892,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
149,,,353984.73254454555,0.9410000000000001,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
150,,,424595.8886020367,0.99,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
