Year,Capital_Index,CatChem_Index,Labor_Index,CPI_Index
1990,357.6,123.6,12.9,130.7
1991,361.3,125.6,13.3,136.2
1992,358.2,125.9,13.7,140.3
1993,359.2,128.2,14.0,144.5
1994,368.1,132.1,14.3,148.2
1995,381.1,139.5,14.9,152.4
1996,381.7,142.1,15.4,156.9
1997,386.5,147.1,15.8,160.5
1998,389.5,148.7,16.2,163.0
1999,390.6,149.7,16.4,166.6
2000,394.1,156.7,17.1,172.2
2001,394.3,158.4,17.6,177.1
2002,395.6,157.3,18.0,179.9
2003,402.0,164.6,18.5,184.0
2004,444.2,172.8,19.2,188.9
2005,468.2,187.3,19.7,195.3
2006,499.6,196.8,19.6,201.6
2007,525.4,203.3,19.6,207.3
2008,575.4,228.2,19.5,215.3
2009,521.9,224.7,20.3,214.5
2010,550.8,233.7,21.1,218.1
2011,585.7,252.1,21.5,224.9
2012,584.6,260.3,21.5,229.6
2013,567.3,263.9,21.4,233.0
2014,576.1,269.2,21.5,236.7
2015,556.8,264.8,21.8,237.0
2016,541.7,267.1,22.7,240.0
2017,567.5,277.6,24.3,245.1