DateTime,electric_customer_0_2022-07-05_2022-07-14_0,electric_energy_0_2022-07-05_2022-07-14_0,electric_energy_1_2022-07-05_2022-07-14_0,electric_energy_2_2022-07-05_2022-07-14_0,electric_energy_3_2022-07-05_2022-07-14_0,electric_demand_peak-summer_2022-07-05_2022-07-14_0,electric_demand_maximum_2022-07-05_2022-07-14_0
2022-07-12 11:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 11:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 12:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 12:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 12:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 12:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 13:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 13:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 13:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 13:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 14:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 14:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 14:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 14:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 15:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 15:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 15:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 15:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-12 16:00:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 16:15:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 16:30:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 16:45:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 17:00:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 17:15:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 17:30:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 17:45:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 18:00:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 18:15:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 18:30:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 18:45:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 19:00:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 19:15:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 19:30:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 19:45:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 20:00:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 20:15:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 20:30:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 20:45:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-12 21:00:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-12 21:15:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-12 21:30:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-12 21:45:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-12 22:00:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-12 22:15:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-12 22:30:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-12 22:45:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-12 23:00:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-12 23:15:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-12 23:30:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-12 23:45:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-13 00:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 00:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 00:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 00:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 01:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 01:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 01:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 01:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 02:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 02:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 02:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 02:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 03:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 03:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 03:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 03:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 04:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 04:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 04:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 04:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 05:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 05:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 05:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 05:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 06:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 06:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 06:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 06:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 07:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 07:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 07:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 07:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 08:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 08:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 08:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 08:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 09:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 09:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 09:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 09:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 10:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 10:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 10:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 10:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 11:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 11:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 11:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 11:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 12:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 12:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 12:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 12:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 13:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 13:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 13:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 13:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 14:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 14:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 14:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 14:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 15:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 15:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 15:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 15:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-13 16:00:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 16:15:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 16:30:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 16:45:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 17:00:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 17:15:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 17:30:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 17:45:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 18:00:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 18:15:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 18:30:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 18:45:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 19:00:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 19:15:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 19:30:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 19:45:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 20:00:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 20:15:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 20:30:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 20:45:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-13 21:00:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-13 21:15:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-13 21:30:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-13 21:45:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-13 22:00:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-13 22:15:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-13 22:30:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-13 22:45:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-13 23:00:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-13 23:15:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-13 23:30:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-13 23:45:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-14 00:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 00:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 00:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 00:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 01:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 01:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 01:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 01:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 02:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 02:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 02:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 02:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 03:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 03:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 03:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 03:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 04:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 04:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 04:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 04:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 05:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 05:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 05:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 05:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 06:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 06:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 06:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 06:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 07:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 07:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 07:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 07:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 08:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 08:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 08:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 08:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 09:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 09:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 09:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 09:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 10:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 10:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 10:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 10:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 11:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 11:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 11:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 11:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 12:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 12:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 12:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 12:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 13:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 13:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 13:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 13:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 14:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 14:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 14:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 14:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 15:00:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 15:15:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 15:30:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 15:45:00,3.8018333333333336,0.0,0.12955,0.0,0.0,0.0,8.03
2022-07-14 16:00:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 16:15:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 16:30:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 16:45:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 17:00:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 17:15:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 17:30:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 17:45:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 18:00:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 18:15:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 18:30:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 18:45:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 19:00:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 19:15:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 19:30:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 19:45:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 20:00:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 20:15:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 20:30:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 20:45:00,3.8018333333333336,0.52939,0.0,0.0,0.0,2.55,8.03
2022-07-14 21:00:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-14 21:15:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-14 21:30:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-14 21:45:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-14 22:00:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-14 22:15:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-14 22:30:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-14 22:45:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-14 23:00:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-14 23:15:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-14 23:30:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
2022-07-14 23:45:00,3.8018333333333336,0.0,0.0,0.12955,0.0,0.0,8.03
